순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,MSFT,MICROSOFT CORP,296225.8,2002-06-28,27.35,16.668,7.45,-9.3,-17.43,-25.07,-12.29
2,NYSE,GE,GE AEROSPACE,288692.2,2002-06-28,232.4,78.78,-6.14,-21.85,-26.74,-39.34,10.84
3,NYSE,XOM,EXXON MOBIL CORP,277520.3,2002-06-28,40.92,18.772,2.48,-6.09,5.36,-4.1,-10.17
4,NASDAQ,WMT,WALMART INC,244691.1,2002-06-28,18.337,11.805,1.82,-10.14,-4.17,13.32,-10.6
5,NYSE,PFE,PFIZER INC,218564.9,2002-06-28,35.0,12.65,1.16,-11.61,-11.58,-11.56,-7.57
6,NYSE,C,CITIGROUP INC,199448.8,2002-06-28,387.5,206.971,-10.26,-21.44,-22.67,-25.64,-13.44
7,NYSE,AIG,AMERICAN INTERNATIONAL GROUP INC,178278.3,2002-06-28,1364.6,808.425,1.95,-5.36,-13.96,-19.56,-6.32
8,NYSE,JNJ,JOHNSON & JOHNSON,157365.6,2002-06-28,52.26,27.175,-14.81,-19.27,-11.0,5.95,1.41
9,NYSE,KO,COCA COLA CO,139088.3,2002-06-28,28.0,14.037,1.16,7.55,19.71,26.36,-10.82
10,NYSE,IBM,INTERNATIONAL BUSINESS MACHINES CORP,123256.0,2002-06-28,72.0,35.558,-10.5,-30.64,-40.29,-36.2,-2.22
11,NASDAQ,INTC,INTEL CORP,122153.2,2002-06-28,18.27,10.431,-33.85,-39.88,-41.83,-37.37,2.85
12,NYSE,PG,PROCTER & GAMBLE CO,116055.2,2002-06-28,44.65,23.459,-0.28,-0.46,13.87,42.78,0.16
13,NYSE,MRK,MERCK & CO INC,114708.3,2002-06-28,50.64,19.776,-10.75,-11.49,-12.84,-18.96,-2.05
14,NYSE,VZ,VERIZON COMMUNICATIONS INC,109329.2,2002-06-28,40.15,10.812,-6.62,-12.15,-14.0,-22.62,-16.99
15,NYSE,BAC,BANK OF AMERICA CORP,108307.1,2002-06-28,35.18,19.804,-6.43,4.29,13.75,21.53,-5.48
16,NASDAQ,CSCO,CISCO SYSTEMS INC,102066.2,2002-06-28,13.95,8.981,-11.6,-17.6,-22.97,-23.35,-5.46
