순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,536094.6,2016-02-29,24.172,21.877,-0.13,-17.83,-13.42,-23.34,12.72
2,NASDAQ,GOOGL,ALPHABET INC,493676.7,2016-02-29,35.861,35.544,-5.8,-5.98,10.71,27.48,6.37
3,NASDAQ,MSFT,MICROSOFT CORP,402425.3,2016-02-29,50.88,44.666,-6.99,-5.73,18.53,19.19,8.55
4,NYSE,XOM,EXXON MOBIL CORP,332843.4,2016-02-29,80.15,51.473,3.89,-0.95,8.46,-6.19,4.29
5,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,331863.4,2016-02-29,134.17,134.17,3.39,0.06,0.1,-8.98,5.75
6,NASDAQ,META,META PLATFORMS INC,304324.3,2016-02-29,106.92,106.096,-4.71,2.57,19.56,35.39,6.71
7,NYSE,JNJ,JOHNSON & JOHNSON,290312.2,2016-02-29,105.21,79.477,1.46,4.67,13.58,5.72,2.84
8,NYSE,GE,GE AEROSPACE,271893.9,2016-02-29,233.12,125.163,0.92,-1.17,20.3,15.85,9.09
9,NASDAQ,AMZN,AMAZON COM INC,260149.6,2016-02-29,27.626,27.626,-5.87,-16.89,7.72,45.34,7.44
10,NYSE,WFC,WELLS FARGO & COMPANY,238199.3,2016-02-29,46.92,35.283,-5.85,-14.18,-10.72,-11.93,3.07
11,NYSE,T,AT&T INC,227287.2,2016-02-29,36.95,15.603,2.47,11.28,14.47,13.05,6.01
12,NYSE,CHL,CHINA MOBILE LTD,218650.3,2016-02-29,53.49,42.15,-1.91,-6.92,-9.07,-18.63,3.66
13,NYSE,PG,PROCTER & GAMBLE CO,217149.6,2016-02-29,80.29,60.589,-1.71,8.22,15.64,-2.43,2.52
14,NASDAQ,WMT,WALMART INC,212410.4,2016-02-29,22.113,18.358,-0.03,13.69,3.34,-18.77,4.01
15,NYSE,VZ,VERIZON COMMUNICATIONS INC,206666.0,2016-02-29,50.73,29.45,1.52,13.0,13.06,7.63,6.6
16,NYSE,JPM,JPMORGAN CHASE & CO,206635.9,2016-02-29,56.3,42.823,-5.38,-14.98,-10.92,-5.59,5.19
17,NYSE,KO,COCA COLA CO,186731.2,2016-02-29,43.13,31.278,0.49,1.2,11.48,2.9,8.39
18,NYSE,PFE,PFIZER INC,183483.4,2016-02-29,29.67,17.834,-1.7,-8.54,-6.22,-10.53,-0.1
19,NYSE,V,VISA INC,173439.9,2016-02-29,72.39,67.348,-2.63,-8.2,1.91,7.49,5.65
20,NYSE,BABA,ALIBABA GROUP HOLDING LTD,171715.3,2016-02-29,68.81,65.318,2.65,-18.16,4.07,-19.16,14.85
21,NYSE,BUD,ANHEUSER-BUSCH INBEV SA,170055.5,2016-02-29,105.74,85.88,-11.39,-13.2,7.11,-2.5,11.8
22,NYSE,NVS,NOVARTIS AG,168807.7,2016-02-29,71.11,42.61,-5.29,-13.36,-24.04,-26.16,1.87
23,NYSE,TM,TOYOTA MOTOR CORP,163791.6,2016-02-29,104.1,78.554,-13.27,-16.33,-10.82,-20.91,4.03
24,NYSE,HD,HOME DEPOT INC,157369.4,2016-02-29,124.12,96.406,-1.3,-6.88,7.6,10.36,8.09
25,NYSE,CVX,CHEVRON CORP,157130.6,2016-02-29,83.44,54.057,-2.29,-7.48,5.55,-18.04,14.33
